# cell id, centroid x, centroid y, centroid z, region, subregion, field
94, 1473538.68, 4936243.18, 0.00, 2, 308, 1434.952860
95, 1448950.45, 4916776.95, 0.00, 0, 415, 498.529042
96, 1448709.61, 4917827.21, 0.00, 0, 415, 645.638669
97, 1448636.15, 4917773.28, 0.00, 0, 415, 548.823891
98, 1448693.79, 4917771.32, 0.00, 0, 415, 655.099553
99, 1448730.23, 4917706.07, 0.00, 0, 415, 593.927195
100, 1480922.26, 4928861.87, 0.00, 4, 5, 3061.830310
101, 1448569.89, 4917281.49, 0.00, 0, 415, 595.612929
102, 1471291.26, 4921387.90, 0.00, 2, 307, 1119.441200
103, 1457261.82, 4919109.95, 0.00, 1, 159, 859.832072
104, 1448783.73, 4916682.44, 0.00, 0, 415, 408.540225
105, 1473646.79, 4925399.24, 0.00, 3, 53, 1703.230330
106, 1448828.98, 4916635.03, 0.00, 0, 415, 679.843382
107, 1473854.40, 4936121.30, 0.00, 2, 308, 1079.172930
108, 1480145.38, 4931376.77, 0.00, 4, 5, 2096.762920
109, 1457209.01, 4928895.09, 0.00, 1, 159, 1097.510020
110, 1448925.19, 4916762.80, 0.00, 0, 415, 530.366898
111, 1448840.92, 4916707.01, 0.00, 0, 415, 675.811219
112, 1451020.29, 4925596.07, 0.00, 0, 415, 595.935916
113, 1448815.66, 4916687.65, 0.00, 0, 415, 538.403355
114, 1448998.96, 4916845.32, 0.00, 0, 415, 507.702529
115, 1452185.20, 4915257.53, 0.00, 0, 415, 408.280567
116, 1452033.54, 4915231.80, 0.00, 0, 415, 379.949438
117, 1449065.34, 4916906.58, 0.00, 0, 415, 558.811608
118, 1463735.66, 4928206.82, 0.00, 1, 159, 914.310284
119, 1448098.20, 4922603.98, 0.00, 1, 163, 890.090264
120, 1449030.86, 4916961.39, 0.00, 0, 415, 525.746346
121, 1449046.82, 4916840.41, 0.00, 0, 415, 371.838438
122, 1456887.52, 4929045.09, 0.00, 1, 159, 986.567315
123, 1448997.23, 4916800.77, 0.00, 0, 415, 468.571095
124, 1481164.89, 4929247.17, 0.00, 4, 5, 2388.996930
125, 1448855.11, 4916943.81, 0.00, 0, 415, 516.664078
126, 1471111.60, 4921357.46, 0.00, 2, 307, 1175.402850
127, 1448982.23, 4917791.75, 0.00, 0, 415, 620.681144
128, 1448527.00, 4920118.15, 0.00, 0, 415, 638.479519
129, 1448894.28, 4919354.93, 0.00, 0, 415, 956.045410
