# pid, centroid x, centroid y, centroid z, field, isovalue_min, isovalue_max, field_m_sigma, field_p_sigma, misclassification
7796, 1480046.44, 4930295.55, 0.00, 1909.461490, 2052.970000, 3364.610000, 2430.658310, 1388.264670, 143.508510
7809, 1480361.31, 4930606.84, 0.00, 1908.329570, 2052.970000, 3364.610000, 2535.900650, 1280.758500, 144.640430
7818, 1480402.45, 4930558.18, 0.00, 2009.328300, 2052.970000, 3364.610000, 2605.504680, 1413.151920, 43.641700
7832, 1480487.43, 4930586.29, 0.00, 1972.206990, 2052.970000, 3364.610000, 2792.470120, 1151.943860, 80.763010
7833, 1480485.76, 4930604.21, 0.00, 2027.657570, 2052.970000, 3364.610000, 2811.163530, 1244.151620, 25.312430
7897, 1480273.12, 4930919.10, 0.00, 2036.141710, 2052.970000, 3364.610000, 2805.129640, 1267.153790, 16.828290
7901, 1480025.71, 4931018.84, 0.00, 1971.156410, 2052.970000, 3364.610000, 2573.133400, 1369.179410, 81.813590
7944, 1480249.76, 4932149.77, 0.00, 1863.909450, 2052.970000, 3364.610000, 2503.316860, 1224.502030, 189.060550
7962, 1480255.10, 4932294.59, 0.00, 1909.584410, 2052.970000, 3364.610000, 2815.114940, 1004.053880, 143.385590
7980, 1480216.98, 4932545.46, 0.00, 2039.566100, 2052.970000, 3364.610000, 2850.297180, 1228.835010, 13.403900
7984, 1479941.91, 4931101.23, 0.00, 1938.287840, 2052.970000, 3364.610000, 2794.669990, 1081.905680, 114.682160
8006, 1480242.54, 4932453.07, 0.00, 2043.034620, 2052.970000, 3364.610000, 2687.714170, 1398.355070, 9.935380
8014, 1480162.73, 4930987.00, 0.00, 1728.740000, 2052.970000, 3364.610000, 2461.616460, 995.863546, 324.230000
8030, 1480131.46, 4930943.76, 0.00, 1939.726290, 2052.970000, 3364.610000, 2737.213070, 1142.239500, 113.243710
8035, 1480200.07, 4931604.20, 0.00, 2033.774470, 2052.970000, 3364.610000, 2920.816210, 1146.732720, 19.195530
8080, 1480437.87, 4931795.83, 0.00, 2042.538230, 2052.970000, 3364.610000, 2667.346100, 1417.730360, 10.431770
8140, 1479920.80, 4930693.56, 0.00, 1781.999050, 2052.970000, 3364.610000, 2353.678580, 1210.319520, 270.970950
8170, 1480763.77, 4930698.25, 0.00, 2024.604240, 2052.970000, 3364.610000, 2998.687400, 1050.521070, 28.365760
8222, 1479814.27, 4930213.60, 0.00, 1992.299950, 2052.970000, 3364.610000, 2725.121570, 1259.478330, 60.670050
8293, 1479971.47, 4930458.84, 0.00, 1965.965630, 2052.970000, 3364.610000, 2447.799550, 1484.131720, 87.004370
8331, 1480566.34, 4931581.28, 0.00, 1978.234420, 2052.970000, 3364.610000, 2847.755760, 1108.713070, 74.735580
8332, 1480560.28, 4931599.68, 0.00, 2013.892810, 2052.970000, 3364.610000, 2872.986480, 1154.799150, 39.077190
8349, 1480573.00, 4931543.56, 0.00, 1917.540090, 2052.970000, 3364.610000, 2656.364080, 1178.716110, 135.429910
8357, 1480138.89, 4930876.21, 0.00, 1884.743930, 2052.970000, 3364.610000, 2637.345530, 1132.142320, 168.226070
8772, 1479776.51, 4931810.30, 0.00, 1928.184610, 2052.970000, 3364.610000, 2410.302570, 1446.066660, 124.785390
8940, 1469256.67, 4932771.65, 0.00, 1984.829680, 2052.970000, 3364.610000, 2561.335710, 1408.323640, 68.140320
8974, 1479510.62, 4932377.31, 0.00, 2047.814420, 2052.970000, 3364.610000, 2925.077850, 1170.550990, 5.155580
9375, 1479633.31, 4932092.56, 0.00, 2013.363470, 2052.970000, 3364.610000, 2543.750270, 1482.976680, 39.606530
9663, 1479602.15, 4932219.05, 0.00, 2043.883370, 2052.970000, 3364.610000, 2904.018920, 1183.747830, 9.086630
10376, 1481051.59, 4928069.40, 0.00, 2004.325260, 2052.970000, 3364.610000, 2708.023710, 1300.626820, 48.644740
10445, 1480947.38, 4928212.09, 0.00, 1956.648140, 2052.970000, 3364.610000, 2615.510480, 1297.785800, 96.321860
10666, 1479412.25, 4932570.49, 0.00, 1942.092670, 2052.970000, 3364.610000, 2598.295490, 1285.889850, 110.877330
10875, 1469557.31, 4932495.12, 0.00, 1759.161040, 2052.970000, 3364.610000, 2332.864360, 1185.457720, 293.808960
11081, 1481174.34, 4928005.27, 0.00, 1982.975720, 2052.970000, 3364.610000, 2416.705520, 1549.245920, 69.994280
11215, 1481193.80, 4926955.03, 0.00, 1795.829960, 2052.970000, 3364.610000, 2412.799750, 1178.860170, 257.140040
11288, 1481134.53, 4926854.83, 0.00, 1988.268010, 2052.970000, 3364.610000, 2733.489330, 1243.046690, 64.701990
11308, 1480927.21, 4927351.40, 0.00, 1869.588200, 2052.970000, 3364.610000, 2455.826450, 1283.349940, 183.381800
11312, 1481124.68, 4927499.17, 0.00, 2041.385730, 2052.970000, 3364.610000, 2743.377260, 1339.394200, 11.584270
11313, 1480893.87, 4927425.41, 0.00, 1865.539700, 2052.970000, 3364.610000, 2636.401090, 1094.678310, 187.430300
11321, 1481122.11, 4927278.88, 0.00, 1943.685930, 2052.970000, 3364.610000, 2663.574570, 1223.797290, 109.284070
11322, 1481232.59, 4927551.00, 0.00, 1975.532850, 2052.970000, 3364.610000, 2466.097800, 1484.967900, 77.437150
11327, 1481202.89, 4927500.63, 0.00, 2034.517300, 2052.970000, 3364.610000, 2709.645150, 1359.389450, 18.452700
11328, 1481115.60, 4927634.06, 0.00, 1834.533090, 2052.970000, 3364.610000, 2457.990920, 1211.075250, 218.436910
11344, 1481022.15, 4927793.46, 0.00, 1959.913850, 2052.970000, 3364.610000, 2572.965920, 1346.861780, 93.056150
11347, 1480910.60, 4927952.00, 0.00, 1920.594300, 2052.970000, 3364.610000, 2786.629150, 1054.559450, 132.375700
11348, 1480899.99, 4927705.59, 0.00, 2022.384810, 2052.970000, 3364.610000, 2694.542250, 1350.227370, 30.585190
11385, 1479329.04, 4932591.18, 0.00, 1836.708460, 2052.970000, 3364.610000, 2494.657630, 1178.759280, 216.261540
11386, 1479354.07, 4932423.68, 0.00, 1965.960870, 2052.970000, 3364.610000, 2559.301080, 1372.620660, 87.009130
11388, 1479429.97, 4932506.57, 0.00, 2032.755130, 2052.970000, 3364.610000, 2728.058870, 1337.451380, 20.214870
11393, 1481507.44, 4927162.62, 0.00, 2043.332940, 2052.970000, 3364.610000, 2876.198950, 1210.466920, 9.637060
11395, 1481492.69, 4927070.34, 0.00, 1890.806670, 2052.970000, 3364.610000, 2535.370480, 1246.242860, 162.163330
11396, 1481369.49, 4927208.86, 0.00, 2016.779590, 2052.970000, 3364.610000, 2646.232290, 1387.326880, 36.190410
11667, 1479941.98, 4931854.06, 0.00, 2046.690080, 2052.970000, 3364.610000, 2911.032430, 1182.347730, 6.279920
11683, 1479433.02, 4932274.67, 0.00, 1942.589620, 2052.970000, 3364.610000, 2612.549020, 1272.630210, 110.380380
11835, 1481192.69, 4927616.06, 0.00, 1972.049790, 2052.970000, 3364.610000, 2677.744250, 1266.355340, 80.920210
11840, 1481555.75, 4927411.56, 0.00, 1965.294040, 2052.970000, 3364.610000, 2662.131630, 1268.456460, 87.675960
11857, 1481543.67, 4927220.57, 0.00, 1943.666890, 2052.970000, 3364.610000, 2457.184550, 1430.149220, 109.303110
11858, 1481458.93, 4927367.05, 0.00, 2022.028440, 2052.970000, 3364.610000, 2768.271600, 1275.785280, 30.941560
12016, 1479875.52, 4932483.18, 0.00, 1999.198500, 2052.970000, 3364.610000, 2691.082370, 1307.314630, 53.771500
12162, 1479935.00, 4931307.98, 0.00, 1937.759250, 2052.970000, 3364.610000, 2739.507580, 1136.010930, 115.210750
12168, 1479718.51, 4931193.52, 0.00, 1924.705470, 2052.970000, 3364.610000, 2707.680490, 1141.730450, 128.264530
12171, 1479627.65, 4931236.55, 0.00, 1716.979780, 2052.970000, 3364.610000, 2287.355160, 1146.604410, 335.990220
12476, 1480454.21, 4929118.70, 0.00, 1864.539560, 2052.970000, 3364.610000, 2295.910550, 1433.168570, 188.430440
12484, 1480570.90, 4928787.16, 0.00, 2012.312570, 2052.970000, 3364.610000, 2698.169420, 1326.455710, 40.657430
12838, 1469210.05, 4932836.66, 0.00, 1882.721020, 2052.970000, 3364.610000, 2399.295360, 1366.146690, 170.248980
12864, 1469399.62, 4933592.55, 0.00, 1798.742720, 2052.970000, 3364.610000, 2294.827860, 1302.657580, 254.227280
12866, 1469498.82, 4933410.83, 0.00, 1986.306140, 2052.970000, 3364.610000, 2632.830970, 1339.781310, 66.663860
12870, 1469602.06, 4933454.73, 0.00, 2046.182490, 2052.970000, 3364.610000, 2852.329020, 1240.035970, 6.787510
12872, 1469624.43, 4933342.40, 0.00, 2009.372690, 2052.970000, 3364.610000, 2510.265640, 1508.479740, 43.597310
12875, 1469617.06, 4933572.13, 0.00, 1988.297080, 2052.970000, 3364.610000, 2799.970870, 1176.623280, 64.672920
12881, 1469591.17, 4933302.06, 0.00, 2050.600290, 2052.970000, 3364.610000, 2675.333000, 1425.867590, 2.369710
13115, 1481222.95, 4926704.34, 0.00, 1832.369090, 2052.970000, 3364.610000, 2410.954380, 1253.783790, 220.600910
13118, 1481325.07, 4926644.75, 0.00, 1987.897970, 2052.970000, 3364.610000, 2731.788230, 1244.007720, 65.072030
13122, 1481172.27, 4927299.51, 0.00, 1880.490010, 2052.970000, 3364.610000, 2656.447000, 1104.533020, 172.479990
13124, 1481152.99, 4927941.32, 0.00, 1890.486770, 2052.970000, 3364.610000, 2327.088600, 1453.884930, 162.483230
13140, 1481415.03, 4927155.97, 0.00, 1746.449550, 2052.970000, 3364.610000, 2187.387350, 1305.511760, 306.520450
13587, 1479793.57, 4931461.67, 0.00, 2034.553320, 2052.970000, 3364.610000, 2841.769300, 1227.337330, 18.416680
13588, 1479617.84, 4931442.11, 0.00, 1977.001340, 2052.970000, 3364.610000, 2788.645410, 1165.357270, 75.968660
13620, 1479588.94, 4931319.73, 0.00, 1949.233920, 2052.970000, 3364.610000, 2689.887080, 1208.580750, 103.736080
13767, 1481358.18, 4927085.38, 0.00, 1920.943630, 2052.970000, 3364.610000, 2765.630530, 1076.256730, 132.026370
14419, 1480051.23, 4929222.87, 0.00, 1923.705540, 2052.970000, 3364.610000, 2735.431700, 1111.979380, 129.264460
14665, 1469446.26, 4932933.89, 0.00, 1970.702500, 2052.970000, 3364.610000, 2516.961360, 1424.443650, 82.267500
14670, 1470008.69, 4933083.02, 0.00, 1914.739310, 2052.970000, 3364.610000, 2558.163350, 1271.315270, 138.230690
15125, 1479644.62, 4931781.36, 0.00, 1911.272740, 2052.970000, 3364.610000, 2649.333200, 1173.212290, 141.697260
15826, 1480158.33, 4928944.25, 0.00, 1970.881920, 2052.970000, 3364.610000, 2661.033220, 1280.730610, 82.088080
15839, 1480452.86, 4929792.04, 0.00, 2051.352190, 2052.970000, 3364.610000, 2595.829960, 1506.874430, 1.617810
15851, 1480196.80, 4930216.31, 0.00, 1951.530650, 2052.970000, 3364.610000, 2648.764220, 1254.297080, 101.439350
15857, 1480113.46, 4929582.68, 0.00, 1845.915300, 2052.970000, 3364.610000, 2413.672680, 1278.157920, 207.054700
15863, 1480933.65, 4928074.54, 0.00, 1910.729400, 2052.970000, 3364.610000, 2536.501920, 1284.956890, 142.240600
15871, 1480606.29, 4928508.70, 0.00, 1997.386910, 2052.970000, 3364.610000, 2790.568380, 1204.205440, 55.583090
15872, 1480498.52, 4928420.49, 0.00, 1881.972760, 2052.970000, 3364.610000, 2453.737390, 1310.208140, 170.997240
15880, 1480661.68, 4928169.79, 0.00, 2006.495970, 2052.970000, 3364.610000, 2795.473200, 1217.518740, 46.474030
15881, 1480544.64, 4928387.19, 0.00, 1703.865760, 2052.970000, 3364.610000, 2202.877510, 1204.854000, 349.104240
16050, 1469629.69, 4933048.25, 0.00, 1869.882510, 2052.970000, 3364.610000, 2588.950270, 1150.814740, 183.087490
16051, 1469584.50, 4932653.34, 0.00, 2001.492310, 2052.970000, 3364.610000, 2629.382390, 1373.602230, 51.477690
16053, 1469586.86, 4932982.78, 0.00, 1840.881820, 2052.970000, 3364.610000, 2553.702770, 1128.060880, 212.088180
16055, 1469522.62, 4933008.39, 0.00, 1935.827200, 2052.970000, 3364.610000, 2613.825110, 1257.829290, 117.142800
16057, 1469853.65, 4932540.92, 0.00, 2001.034780, 2052.970000, 3364.610000, 2575.130510, 1426.939060, 51.935220
16060, 1469900.37, 4933086.40, 0.00, 2028.955300, 2052.970000, 3364.610000, 2754.970200, 1302.940400, 24.014700
16064, 1469614.61, 4932727.52, 0.00, 2005.037320, 2052.970000, 3364.610000, 2861.070300, 1149.004330, 47.932680
16068, 1469474.25, 4932987.64, 0.00, 1769.972410, 2052.970000, 3364.610000, 2520.803500, 1019.141310, 282.997590
16602, 1479530.93, 4931164.37, 0.00, 2005.434020, 2052.970000, 3364.610000, 2813.133400, 1197.734640, 47.535980
17011, 1479957.95, 4929466.71, 0.00, 2030.587050, 2052.970000, 3364.610000, 2722.294540, 1338.879570, 22.382950
17028, 1480110.21, 4928656.00, 0.00, 1901.321930, 2052.970000, 3364.610000, 2317.037830, 1485.606030, 151.648070
17029, 1479748.90, 4929479.63, 0.00, 2039.035990, 2052.970000, 3364.610000, 2612.446890, 1465.625090, 13.934010
17035, 1479763.58, 4929284.74, 0.00, 1895.314520, 2052.970000, 3364.610000, 2440.237480, 1350.391570, 157.655480
17051, 1480417.68, 4928528.33, 0.00, 1978.976330, 2052.970000, 3364.610000, 2724.191980, 1233.760670, 73.993670
18277, 1479975.49, 4930280.75, 0.00, 2019.625330, 2052.970000, 3364.610000, 2731.387840, 1307.862820, 33.344670
18279, 1479936.47, 4930336.06, 0.00, 2026.341960, 2052.970000, 3364.610000, 2683.853600, 1368.830330, 26.628040
18280, 1479876.95, 4930477.53, 0.00, 1768.595880, 2052.970000, 3364.610000, 2235.502890, 1301.688880, 284.374120
18292, 1480954.10, 4927834.64, 0.00, 1867.253200, 2052.970000, 3364.610000, 2611.312460, 1123.193950, 185.716800
18310, 1480423.50, 4928441.50, 0.00, 1977.190940, 2052.970000, 3364.610000, 2682.196220, 1272.185660, 75.779060
18341, 1480761.67, 4928107.82, 0.00, 2045.172380, 2052.970000, 3364.610000, 2927.737070, 1162.607690, 7.797620
18978, 1479461.57, 4929830.26, 0.00, 1965.900960, 2052.970000, 3364.610000, 2470.921160, 1460.880750, 87.069040
19751, 1480053.10, 4928911.40, 0.00, 1910.223280, 2052.970000, 3364.610000, 2666.688200, 1153.758370, 142.746720
19761, 1479985.72, 4928993.20, 0.00, 1857.242360, 2052.970000, 3364.610000, 2392.251520, 1322.233200, 195.727640
19762, 1479998.79, 4928902.68, 0.00, 2045.577880, 2052.970000, 3364.610000, 2706.169600, 1384.986150, 7.392120
19763, 1479991.42, 4930394.93, 0.00, 1945.826650, 2052.970000, 3364.610000, 2535.240450, 1356.412850, 107.143350
